"id","name","difficulty","elementType","workoutType","isDoableAtHome","description","totalTime","createdAt","creatorId","updatedAt"
7,,,STRENGTH_OR_SKILLS,EMOM,false,"5 x E2M
3 Front squats starting at 70% of 1RM
directly into
3 high boxjumps

Tight set up on every Front squat and stay as upright as possible. If your leaning forward consider lowering the weight to establish best possible movement pattern.",10.0,2022-05-10 00:00:00.000,cl6jsjxy00006uyo8h2v8fr2e,2022-08-10 22:02:30.156
80,,,INTENSE_MOBILITY,,false,"INTENSE MOBILITY
3 rounds 
40s FHL calf raises
40 Hollow to Arch on the bar
40 + 40 KOT split squats
3 rounds
40 Back body line hold
40 + 40 Berber squats
3 rounds
40 Front pass through
40 Horse squats
3 rounds
90 Heel pulls or Free handstand
90 Jefferson curls",,2022-08-15 14:20:07.790,cl6jsjxy00006uyo8h2v8fr2e,2022-08-15 14:20:07.790
1,,BLACK,WOD,FOR_TIME,false,"""Chipper"" for time: 

100 Kettlebell swings lagom 24/16 kg or individual weights
80 Wallballls
60 Deadlifts 60/40 kg
40 Situps
20 Single arm Devils press alternating 22,5/15 kg or individual weight

Cap 15 min but if your done before 12 min continue to 15 min as a amrap",15.0,2022-04-18 00:00:00.000,cl6jsjxy00006uyo8h2v8fr2e,2022-08-10 22:02:30.156
2,,GREEN,ENDURANCE,,false,"5 rounds (30 min total)

1 min Row
1 min Handstand hold on wall or practice free standing
1 min Fly wheel bike
1 min Turkish get up (1 left and 1 right arm) 16/12 kg or individual weight
1 min Singel unders 25s L elbow side plank + 25 s right",30.0,2022-04-22 00:00:00.000,cl6jsjxy00006uyo8h2v8fr2e,2022-08-10 22:02:30.156
8,,RED,WOD,FOR_TIME,false,"5 rounds for time
20 Wallballs 3/2,7m 9/6 kg 
5 Devils press 2 x 22,5/15 kg or individual weights
Time cap 12 min

Very intense for time met-con. Can you push on the last rounds?",12.0,2022-05-10 00:00:00.000,cl6jsjxy00006uyo8h2v8fr2e,2022-08-10 22:02:30.156
9,,YELLOW,STRENGTH_OR_SKILLS,,false,"9 x OTM
4 - 6 Ring/Bar dips with 4s eccentric
4 - 5 L + 4 - 5 R Skater squats for quality and depth
40 - 50s Farmers carry with KB or DB

 Strict and with control on the Ring/Bar dips and Skater squats.",9.0,2022-05-17 00:00:00.000,cl6jsjxy00006uyo8h2v8fr2e,2022-08-10 22:02:30.156
22,,BLACK,WOD,FOR_TIME,false,"5 rounds for time:
5 Devils press 2 x 22,5/15 kg
7 Chest to bar pullups/Pullups
9 Burpee boxjump 60/50 cm
35 Double unders/Singel unders 2 for 1
Time cap 16 min

Scaled variation
5 rounds for time:
5 Devils press 2 x 15/10 kg
7 Band pullups/Jumping pullups
9 Burpee box step up
50 Singel unders
Time cap 16 min

High skill met-con with a lot of upper body work. Can you move well all the way through?",16.0,2022-05-28 00:00:00.000,cl6jsjxy00006uyo8h2v8fr2e,2022-08-10 22:02:30.157
11,,BLACK,STRENGTH_OR_SKILLS,,false,"4 x E2,5M
1 - 5 Strict Ring muscle-ups/Progression work
or 
Scaled variation
2 - 5 Supinated strict pullups/Eccentrics/Band
2 - 5 Bar dips/Eccentrics/Band

If you still haven´t got the strict muscle up practice the strength and technique on that. A good alternative is also to work on the strict strength requirements for the movement.",10.0,2022-05-19 00:00:00.000,cl6jsjxy00006uyo8h2v8fr2e,2022-08-10 22:02:30.156
4,,GREEN,ENDURANCE,,false,"2 Rounds (32 min)

3 min Flywheel bike
1 min Handstand hold wallfacing/Pike hold
3 min Shuttle run 10 m or Treadmill
1 min Hang from the bar. Try different grips supinated, mix grip and also small swings back and forth or sideways. 
3 min Singel unders two feet, run, one foot etc. Mix it up!
1 min Front leaning rest in the rings/Floor. Best possible hollow ""gymnasty"" position!
3 min Ski erg
1 min Heavy sandbag och Medball hold

Endurance session which will be strengthening the central capacity (heart and lungs) and also the muscular upper body isometric endurance. Maybe try nose breathing on the conditioning movements. ",32.0,2022-05-07 00:00:00.000,cl6jsjxy00006uyo8h2v8fr2e,2022-08-10 22:02:30.156
6,,,STRENGTH,,false,"4 x E3M
5 Heavy deadlifts 
directly into
8 - 10 m Heavy sled drag
B. 4 x E3M
5 Front squats with 1s hold i the bottom
directly into
3 Broad jumps with controlled landings
C. 4 x E3M
6 - 8 Lying DB bench press with 3s eccentric
directly into
10 Barbell rows with supinated grip 2s eccentric",,2022-05-09 00:00:00.000,cl6jsjxy00006uyo8h2v8fr2e,2022-08-10 22:02:30.156
20,,BLACK,WOD,FOR_TIME,false,"10 - 1 reps for time:
Power clean and Jerk 50/35 kg or 60% of 1 RM
Lunge wallballs 9/6 kg 3/2,7 m
Time cap 15 min

Scaled variation
Power clean 40/25 kg
Backward lunges with WB in a overhead position
Time cap 15 min

Two big movements in a very tough combination. Probably move to singles on the PC and J early and also make sure to keep the standard when it comes to the height of the LWB throws. Two big movements in a very tough combination. Probably move to singles on the PC and J early and also make sure to keep the standard when it comes to the height of the LWB throws. ",15.0,2022-05-24 00:00:00.000,cl6jsjxy00006uyo8h2v8fr2e,2022-08-10 22:02:30.157
17,,RED,WOD,AMRAP,false,"B. 12 min AMRAP
6 Pullups/Band/Ring row
9 Lateral burpees over barbell/Step over
12 Front squats 30/20 kg or individual weight

B. Very intense met-con with big movements. Probably pace a little bit from the start to be able to keep the intensity all the way through.",12.0,2022-05-23 00:00:00.000,cl6jsjxy00006uyo8h2v8fr2e,2022-08-10 22:02:30.156
3,,BLACK,WOD,AMRAP,false,"15 min AMRAP

15 Wallballs 9/6 kg 3/2,7 m
20 KB swings Russian 32/24 kg
5 L + 5 R One arm DB hang clean and jerks 22,5/15 kg
10 Toes to bar/Knee raise 2 for 1
",15.0,2022-05-01 00:00:00.000,cl6jsjxy00006uyo8h2v8fr2e,2022-08-10 22:02:30.156
