"id","date","createdAt","updatedAt","athleteId"
39,2022-08-12 13:00:00.000,2022-08-13 08:45:23.828,2022-08-13 08:45:23.828,cl6jsjxy00006uyo8h2v8fr2e
40,2022-08-14 08:30:00.000,2022-08-13 22:03:45.623,2022-08-13 22:03:45.623,cl6jsjxy00006uyo8h2v8fr2e
41,2022-08-15 14:00:00.756,2022-08-15 09:45:51.052,2022-08-15 09:45:51.052,cl6jsjxy00006uyo8h2v8fr2e
6,2022-05-17 14:00:00.000,2022-08-06 11:56:39.078,2022-08-10 22:03:16.296,cl6jsjxy00006uyo8h2v8fr2e
8,2022-05-20 14:00:00.000,2022-08-06 11:56:39.078,2022-08-10 22:03:16.296,cl6jsjxy00006uyo8h2v8fr2e
45,2022-08-22 15:00:00.000,2022-08-21 19:17:38.200,2022-08-21 19:17:38.202,cl6jsjxy00006uyo8h2v8fr2e
5,2022-05-10 14:00:00.000,2022-08-06 11:56:39.078,2022-08-10 22:03:16.296,cl6jsjxy00006uyo8h2v8fr2e
7,2022-05-19 14:00:00.000,2022-08-06 11:56:39.078,2022-08-10 22:03:16.296,cl6jsjxy00006uyo8h2v8fr2e
3,2022-04-09 14:00:00.000,2022-08-06 11:56:39.078,2022-08-10 22:03:16.296,cl6jsjxy00006uyo8h2v8fr2e
1,2022-04-28 14:00:00.000,2022-08-06 11:56:39.078,2022-08-10 22:03:16.296,cl6jsjxy00006uyo8h2v8fr2e
2,2021-07-01 14:00:00.000,2022-08-06 11:56:39.078,2022-08-10 22:03:16.296,cl6jsjxy00006uyo8h2v8fr2e
10,2022-05-24 14:00:00.000,2022-08-06 11:56:39.078,2022-08-10 22:03:16.296,cl6jsjxy00006uyo8h2v8fr2e
11,2022-05-28 14:00:00.000,2022-08-06 11:56:39.078,2022-08-10 22:03:16.296,cl6jsjxy00006uyo8h2v8fr2e
12,2022-06-01 14:00:00.000,2022-08-06 11:56:39.079,2022-08-10 22:03:16.296,cl6jsjxy00006uyo8h2v8fr2e
9,2022-05-23 14:00:00.000,2022-08-06 11:56:39.078,2022-08-10 22:03:16.296,cl6jsjxy00006uyo8h2v8fr2e
20,2022-07-01 13:00:00.000,2022-08-06 11:56:39.079,2022-08-10 22:03:16.297,cl6jsjxy00006uyo8h2v8fr2e
18,2022-06-29 13:00:00.000,2022-08-06 11:56:39.079,2022-08-10 22:03:16.296,cl6jsjxy00006uyo8h2v8fr2e
13,2022-06-06 14:00:00.000,2022-08-06 11:56:39.078,2022-08-10 22:03:16.297,cl6jsjxy00006uyo8h2v8fr2e
17,2022-06-23 13:00:00.000,2022-08-06 11:56:39.079,2022-08-10 22:03:16.296,cl6jsjxy00006uyo8h2v8fr2e
15,2022-06-14 13:00:00.000,2022-08-06 11:56:39.079,2022-08-10 22:03:16.296,cl6jsjxy00006uyo8h2v8fr2e
16,2022-06-21 07:00:00.000,2022-08-06 11:56:39.079,2022-08-10 22:03:16.296,cl6jsjxy00006uyo8h2v8fr2e
21,2022-07-04 07:30:00.000,2022-08-06 11:56:39.079,2022-08-10 22:03:16.297,cl6jsjxy00006uyo8h2v8fr2e
4,2022-05-01 14:00:00.000,2022-08-06 11:56:39.078,2022-08-10 22:03:16.296,cl6jsjxy00006uyo8h2v8fr2e
22,2022-07-05 07:00:00.000,2022-08-06 11:56:39.079,2022-08-10 22:03:16.297,cl6jsjxy00006uyo8h2v8fr2e
26,2022-07-13 07:00:00.000,2022-08-06 11:56:39.079,2022-08-10 22:03:16.297,cl6jsjxy00006uyo8h2v8fr2e
14,2022-06-10 14:00:00.000,2022-08-06 11:56:39.079,2022-08-10 22:03:16.297,cl6jsjxy00006uyo8h2v8fr2e
32,2022-08-01 07:30:00.000,2022-08-06 11:56:39.079,2022-08-10 22:03:16.297,cl6jsjxy00006uyo8h2v8fr2e
24,2022-07-10 07:30:00.000,2022-08-06 11:56:39.079,2022-08-10 22:03:16.297,cl6jsjxy00006uyo8h2v8fr2e
27,2022-07-15 11:00:00.000,2022-08-06 11:56:39.080,2022-08-10 22:03:16.297,cl6jsjxy00006uyo8h2v8fr2e
