"id","workoutSessionId","workoutId","isRx","totalReps","time","rating","description","shouldRecommendWorkoutAgain","createdAt","updatedAt","weight","order"
95,70,1669,NULL,NULL,373,NULL,"Far from RX but pretty ""ok"" result ",false,2022-09-01 14:27:31.560,2022-09-01 14:27:31.561,NULL,1
71,45,1572,true,NULL,NULL,2,"Felt good on the strict ring muscle-ups, 3's and then 2's
Hard on the one arm dumbell squat snatch, very tough",false,2022-08-22 14:43:26.375,2022-08-22 14:43:26.375,NULL,1
72,45,1573,false,NULL,NULL,2,"Could not take 22.5KG on the one arm squat snatch
I wanted to do the snatch so I chose 15KG, and the left side was still very hard
I need to work on my shoulder mobility",false,2022-08-22 14:47:38.830,2022-08-22 14:47:38.830,NULL,2
73,46,1575,NULL,NULL,NULL,4,Great session - started with 8 reps at 80KG and finished with 2 reps at 110KG,false,2022-08-23 22:37:47.265,2022-08-23 22:37:47.265,NULL,1
74,46,1576,NULL,NULL,NULL,4,"Just started on the 7th round. Got a side stitch in the middle of the workout but kept going!
Hard on the front squat",false,2022-08-23 22:37:47.265,2022-08-23 22:37:47.265,NULL,2
96,71,1669,NULL,NULL,470,NULL,"Back to 40KG on the thrusters, but tough to finish",false,2022-09-01 14:28:47.716,2022-09-01 14:28:47.717,NULL,1
84,53,1666,true,NULL,NULL,4,Added 25 kilos on supinated one rep max,false,2022-08-29 13:42:02.478,2022-09-01 07:27:37.826,25.0,1
85,53,1663,NULL,NULL,NULL,4,Added 35 kilos as a one rep max dips with a belt,false,2022-08-29 13:42:02.478,2022-09-01 07:27:37.828,35.0,2
86,53,1664,true,235,NULL,4,Almost going in for the 7th round. On a really good day I can maybe find the strength to reach the 7th round! Great workout overall,true,2022-08-29 13:42:02.478,2022-09-01 07:27:37.833,NULL,3
67,42,1383,true,NULL,NULL,4,"Endurance but quite intense, finished with high pulse",true,2022-08-17 19:48:55.759,2022-09-01 09:16:56.071,NULL,1
87,54,1668,true,NULL,NULL,4,"My plan: 
- 8 reps at 35KG
- 5 reps at 40KG
- 3 reps at 50KG
- 1 rep at 60KG
- 1 rep at 63KG
- 1 rep at 67KG  PERSONAL RECORD!",false,2022-08-30 20:22:21.035,2022-08-31 18:49:31.540,67.0,1
101,61,1668,true,NULL,NULL,4,NULL,false,2022-09-01 18:43:09.483,2022-09-01 18:43:27.644,65.0,1
88,54,1669,true,NULL,350,5,"Finished completely dead, had to recover for 10/15mn 
The plan: 
- 7-7-7 Thrusters and pullups
- 5-5-5 Thrusters and pullups
- 5-4 Thrusters and 3-3-3 pullups",true,2022-08-30 20:22:21.035,2022-08-31 18:49:31.541,NULL,2
102,61,1669,true,NULL,372,4,Great improvement from last time!,false,2022-09-01 18:43:09.483,2022-09-01 18:43:27.644,NULL,2
103,62,1673,true,NULL,NULL,NULL,First PR Deadlift,false,2022-09-01 18:50:37.362,2022-09-01 18:50:37.362,140.0,1
104,62,1671,true,NULL,440,4,"The classic 2K row
ofc I was dead at the end but finally beat my first score",false,2022-09-01 18:50:37.362,2022-09-01 18:50:37.362,NULL,2
111,59,1660,NULL,NULL,NULL,NULL,NULL,false,2022-09-02 09:07:39.878,2022-09-02 09:07:39.879,NULL,1
68,43,1673,NULL,NULL,NULL,4,"Did a PR today, 150KG one rep max deadlift!",true,2022-08-18 15:23:19.408,2022-08-18 16:00:00.759,150.0,1
112,59,1671,NULL,NULL,NULL,NULL,NULL,false,2022-09-02 09:07:39.878,2022-09-02 09:07:39.879,NULL,2
42,26,57,false,NULL,NULL,3,Finished with 80KG on the clean and jerk. I should work on the split jerk.,false,2022-08-06 11:56:39.081,2022-08-10 22:03:16.298,NULL,1
43,25,58,true,144,NULL,4,"1st set: 5 rounds
2nd set: 5 rounds and 3 Powercleans
3rd set: 5 rounds and 6 Powercleans",true,2022-08-06 11:56:39.081,2022-08-10 22:03:16.298,NULL,2
