"id","name","difficulty","elementType","isDoableAtHome","description","totalTime","createdAt","updatedAt","creatorId","workoutType"
7,NULL,NULL,STRENGTH_OR_SKILLS,false,"5 x E2M
3 Front squats starting at 70% of 1RM
directly into
3 high boxjumps

Tight set up on every Front squat and stay as upright as possible. If your leaning forward consider lowering the weight to establish best possible movement pattern.",10.0,2022-05-10 00:00:00.000,2022-08-10 22:02:30.156,cl6jsjxy00006uyo8h2v8fr2e,EMOM
80,NULL,NULL,INTENSE_MOBILITY,false,"INTENSE MOBILITY
3 rounds 
40s FHL calf raises
40 Hollow to Arch on the bar
40 + 40 KOT split squats
3 rounds
40 Back body line hold
40 + 40 Berber squats
3 rounds
40 Front pass through
40 Horse squats
3 rounds
90 Heel pulls or Free handstand
90 Jefferson curls",NULL,2022-08-15 14:20:07.790,2022-08-15 14:20:07.790,cl6jsjxy00006uyo8h2v8fr2e,NULL
1,NULL,BLACK,WOD,false,"""Chipper"" for time: 

100 Kettlebell swings lagom 24/16 kg or individual weights
80 Wallballls
60 Deadlifts 60/40 kg
40 Situps
20 Single arm Devils press alternating 22,5/15 kg or individual weight

Cap 15 min but if your done before 12 min continue to 15 min as a amrap",15.0,2022-04-18 00:00:00.000,2022-08-10 22:02:30.156,cl6jsjxy00006uyo8h2v8fr2e,FOR_TIME
2,NULL,GREEN,ENDURANCE,false,"5 rounds (30 min total)

1 min Row
1 min Handstand hold on wall or practice free standing
1 min Fly wheel bike
1 min Turkish get up (1 left and 1 right arm) 16/12 kg or individual weight
1 min Singel unders 25s L elbow side plank + 25 s right",30.0,2022-04-22 00:00:00.000,2022-08-10 22:02:30.156,cl6jsjxy00006uyo8h2v8fr2e,NULL
8,NULL,RED,WOD,false,"5 rounds for time
20 Wallballs 3/2,7m 9/6 kg 
5 Devils press 2 x 22,5/15 kg or individual weights
Time cap 12 min

Very intense for time met-con. Can you push on the last rounds?",12.0,2022-05-10 00:00:00.000,2022-08-10 22:02:30.156,cl6jsjxy00006uyo8h2v8fr2e,FOR_TIME
9,NULL,YELLOW,STRENGTH_OR_SKILLS,false,"9 x OTM
4 - 6 Ring/Bar dips with 4s eccentric
4 - 5 L + 4 - 5 R Skater squats for quality and depth
40 - 50s Farmers carry with KB or DB

 Strict and with control on the Ring/Bar dips and Skater squats.",9.0,2022-05-17 00:00:00.000,2022-08-10 22:02:30.156,cl6jsjxy00006uyo8h2v8fr2e,NULL
6,NULL,NULL,STRENGTH,false,"4 x E3M
5 Heavy deadlifts 
directly into
8 - 10 m Heavy sled drag
B. 4 x E3M
5 Front squats with 1s hold i the bottom
directly into
3 Broad jumps with controlled landings
C. 4 x E3M
6 - 8 Lying DB bench press with 3s eccentric
directly into
10 Barbell rows with supinated grip 2s eccentric",NULL,2022-05-09 00:00:00.000,2022-08-10 22:02:30.156,cl6jsjxy00006uyo8h2v8fr2e,NULL
21,NULL,BLACK,STRENGTH_OR_SKILLS,false,"4 x E3,5M
1 - 5 Power snatch starting at 60% of 1 RM
1 - 4 Rope climbs optional with or without legs/Floor variation

Explosive hip knee extension and fast feet on the PS. Best possible technique on the rope climb or keep building that strength with a floor variation. 

",NULL,2022-05-28 00:00:00.000,2022-08-10 22:02:30.157,cl6jsjxy00006uyo8h2v8fr2e,NULL
32,NULL,YELLOW,WOD,false,"15 min AMRAP
15 Wallballs 9/6 kg 3/2,7 m
15/13 cal Row
15 Boxjumps 60/50 cm

""Recover"" on the row and pace from the start to stay below the lactic thresh hold. ",15.0,2022-06-14 00:00:00.000,2022-08-10 22:02:30.157,cl6jsjxy00006uyo8h2v8fr2e,AMRAP
51,NULL,NULL,STRENGTH_OR_SKILLS,true,"4 x EMOM
6-8 tempo push ups 21x1
10-12 Alternating v-ups
5 - 7 + 5 - 7 Skater squats for quality
rest 1 min",16.0,2022-07-07 00:00:00.000,2022-08-10 22:02:30.158,cl6jsjxy00006uyo8h2v8fr2e,NULL
