"id","date","weight"
2,2020-12-13 00:00:00.000,75.3
3,2020-12-20 00:00:00.000,77.0
4,2021-01-03 00:00:00.000,77.1
5,2021-01-10 00:00:00.000,76.9
6,2021-01-17 00:00:00.000,78.2
7,2021-01-24 00:00:00.000,77.7
8,2021-01-31 00:00:00.000,77.7
9,2021-02-14 00:00:00.000,74.6
10,2021-02-21 00:00:00.000,72.8
11,2021-03-07 00:00:00.000,72.3
12,2021-03-14 00:00:00.000,71.5
13,2021-03-28 00:00:00.000,69.8
14,2021-04-04 00:00:00.000,72.5
15,2021-04-11 00:00:00.000,72.1
16,2021-04-18 00:00:00.000,70.5
17,2021-04-24 00:00:00.000,72.7
18,2021-05-01 00:00:00.000,71.1
19,2021-05-08 00:00:00.000,70.0
20,2021-10-02 00:00:00.000,74.1
21,2021-10-09 00:00:00.000,74.7
22,2021-10-23 00:00:00.000,75.4
23,2021-11-19 00:00:00.000,77.9
24,2021-11-26 00:00:00.000,77.8
25,2021-12-03 00:00:00.000,79.2
26,2021-12-10 00:00:00.000,79.1
27,2021-12-17 00:00:00.000,81.0
28,2021-12-24 00:00:00.000,79.8
29,2021-12-31 00:00:00.000,80.0
30,2022-01-07 00:00:00.000,80.5
31,2022-01-21 00:00:00.000,80.2
32,2022-01-28 00:00:00.000,78.4
33,2022-02-04 00:00:00.000,78.8
34,2022-02-11 00:00:00.000,78.3
35,2022-05-16 00:00:00.000,83.1
36,2022-05-23 00:00:00.000,81.8
37,2022-05-30 00:00:00.000,81.8
38,2022-06-06 00:00:00.000,81.6
39,2022-06-13 00:00:00.000,82.0
40,2022-06-20 00:00:00.000,82.5
41,2022-07-04 00:00:00.000,81.6
42,2022-07-11 00:00:00.000,80.2
43,2022-07-18 00:00:00.000,81.9
44,2022-07-31 00:00:00.000,82.9
45,2022-08-07 00:00:00.000,81.5
46,2022-08-14 00:00:00.000,81.5
47,2022-08-21 00:00:00.000,79.3
48,2022-08-28 00:00:00.000,79.6
49,2022-09-04 00:00:00.000,79.9
50,2022-09-11 00:00:00.000,78.5
