"id","athleteId","eventId"
78,cl6jsjxy00006uyo8h2v8fr2e,124
59,cl6jsjxy00006uyo8h2v8fr2e,3
39,cl6jsjxy00006uyo8h2v8fr2e,4
40,cl6jsjxy00006uyo8h2v8fr2e,5
41,cl6jsjxy00006uyo8h2v8fr2e,6
6,cl6jsjxy00006uyo8h2v8fr2e,7
8,cl6jsjxy00006uyo8h2v8fr2e,8
45,cl6jsjxy00006uyo8h2v8fr2e,9
5,cl6jsjxy00006uyo8h2v8fr2e,10
7,cl6jsjxy00006uyo8h2v8fr2e,11
3,cl6jsjxy00006uyo8h2v8fr2e,12
1,cl6jsjxy00006uyo8h2v8fr2e,13
2,cl6jsjxy00006uyo8h2v8fr2e,14
10,cl6jsjxy00006uyo8h2v8fr2e,15
11,cl6jsjxy00006uyo8h2v8fr2e,16
12,cl6jsjxy00006uyo8h2v8fr2e,17
9,cl6jsjxy00006uyo8h2v8fr2e,18
20,cl6jsjxy00006uyo8h2v8fr2e,19
18,cl6jsjxy00006uyo8h2v8fr2e,20
13,cl6jsjxy00006uyo8h2v8fr2e,21
17,cl6jsjxy00006uyo8h2v8fr2e,22
15,cl6jsjxy00006uyo8h2v8fr2e,23
16,cl6jsjxy00006uyo8h2v8fr2e,24
21,cl6jsjxy00006uyo8h2v8fr2e,25
4,cl6jsjxy00006uyo8h2v8fr2e,26
22,cl6jsjxy00006uyo8h2v8fr2e,27
26,cl6jsjxy00006uyo8h2v8fr2e,28
79,cl6jsjxy00006uyo8h2v8fr2e,125
14,cl6jsjxy00006uyo8h2v8fr2e,29
32,cl6jsjxy00006uyo8h2v8fr2e,30
24,cl6jsjxy00006uyo8h2v8fr2e,31
27,cl6jsjxy00006uyo8h2v8fr2e,32
28,cl6jsjxy00006uyo8h2v8fr2e,33
25,cl6jsjxy00006uyo8h2v8fr2e,34
31,cl6jsjxy00006uyo8h2v8fr2e,35
30,cl6jsjxy00006uyo8h2v8fr2e,36
33,cl6jsjxy00006uyo8h2v8fr2e,37
19,cl6jsjxy00006uyo8h2v8fr2e,38
23,cl6jsjxy00006uyo8h2v8fr2e,39
35,cl6jsjxy00006uyo8h2v8fr2e,40
74,cl6jsjxy00006uyo8h2v8fr2e,41
76,cl6jsjxy00006uyo8h2v8fr2e,42
54,cl6jsjxy00006uyo8h2v8fr2e,43
68,cl6jsjxy00006uyo8h2v8fr2e,44
69,cl6jsjxy00006uyo8h2v8fr2e,45
58,cl6jsjxy00006uyo8h2v8fr2e,46
65,cl6jsjxy00006uyo8h2v8fr2e,47
37,cl6jsjxy00006uyo8h2v8fr2e,48
34,cl6jsjxy00006uyo8h2v8fr2e,49
38,cl6jsjxy00006uyo8h2v8fr2e,50
36,cl6jsjxy00006uyo8h2v8fr2e,51
29,cl6jsjxy00006uyo8h2v8fr2e,52
43,cl6jsjxy00006uyo8h2v8fr2e,53
44,cl6jsjxy00006uyo8h2v8fr2e,54
46,cl6jsjxy00006uyo8h2v8fr2e,55
66,cl6jsjxy00006uyo8h2v8fr2e,56
72,cl6jsjxy00006uyo8h2v8fr2e,57
56,cl6jsjxy00006uyo8h2v8fr2e,58
57,cl6jsjxy00006uyo8h2v8fr2e,59
73,cl6jsjxy00006uyo8h2v8fr2e,60
75,cl6jsjxy00006uyo8h2v8fr2e,61
53,cl6jsjxy00006uyo8h2v8fr2e,62
42,cl6jsjxy00006uyo8h2v8fr2e,63
67,cl6jsjxy00006uyo8h2v8fr2e,64
70,cl6jsjxy00006uyo8h2v8fr2e,65
71,cl6jsjxy00006uyo8h2v8fr2e,66
60,cl6jsjxy00006uyo8h2v8fr2e,67
61,cl6jsjxy00006uyo8h2v8fr2e,68
62,cl6jsjxy00006uyo8h2v8fr2e,69
63,cl6jsjxy00006uyo8h2v8fr2e,70
64,cl6jsjxy00006uyo8h2v8fr2e,71
77,cl6jsjxy00006uyo8h2v8fr2e,72
